INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES,MS_READY_SMILES,QSAR_READY_SMILES
10040-45-6,CASRN,DTXSID7048663,Picosulfate sodium,[Na+].[Na+].[O-]S(=O)(=O)OC1=CC=C(C=C1)C(C1=CC=C(OS([O-])(=O)=O)C=C1)C1=CC=CC=N1,OS(=O)(=O)OC1=CC=C(C=C1)C(C1=CC=C(OS(O)(=O)=O)C=C1)C1=CC=CC=N1,OS(=O)(=O)OC1=CC=C(C=C1)C(C1=CC=C(OS(O)(=O)=O)C=C1)C1=CC=CC=N1
100-41-4,CASRN,DTXSID3020596,Ethylbenzene,CCC1=CC=CC=C1,CCC1=CC=CC=C1,CCC1=CC=CC=C1
100-42-5,CASRN,DTXSID2021284,Styrene,C=CC1=CC=CC=C1,C=CC1=CC=CC=C1,C=CC1=CC=CC=C1
10042-59-8,CASRN,DTXSID9029302,2-Propyl-1-heptanol,CCCCCC(CO)CCC,CCCCCC(CO)CCC,CCCCCC(CO)CCC
10043-35-3,CASRN,DTXSID1020194,Boric acid (H3BO3),OB(O)O,N/A,N/A
10043-52-4,CASRN,DTXSID5020235,Calcium chloride,[Cl-].[Cl-].[Ca++],N/A,N/A
100-43-6,CASRN,DTXSID0051499,4-Vinylpyridine,C=CC1=CC=NC=C1,C=CC1=CC=NC=C1,C=CC1=CC=NC=C1
100-44-7,CASRN,DTXSID0020153,Benzyl chloride,ClCC1=CC=CC=C1,ClCC1=CC=CC=C1,ClCC1=CC=CC=C1
100-46-9,CASRN,DTXSID5021839,Benzylamine,NCC1=CC=CC=C1,NCC1=CC=CC=C1,NCC1=CC=CC=C1
100-47-0,CASRN,DTXSID7021491,Benzonitrile,N#CC1=CC=CC=C1,N#CC1=CC=CC=C1,N#CC1=CC=CC=C1
100-48-1,CASRN,DTXSID9041528,4-Pyridinecarbonitrile,N#CC1=CC=NC=C1,N#CC1=CC=NC=C1,N#CC1=CC=NC=C1
10049-83-9,CASRN,DTXSID1046550,Pyrithioxin dihydrochloride,Cl.Cl.CC1=C(O)C(CO)=C(CSSCC2=C(CO)C(O)=C(C)N=C2)C=N1,CC1=C(O)C(CO)=C(CSSCC2=C(CO)C(O)=C(C)N=C2)C=N1,CC1=C(O)C(CO)=C(CSSCC2=C(CO)C(O)=C(C)N=C2)C=N1
100-50-5,CASRN,DTXSID1026661,3-Cyclohexene-1-carboxaldehyde,O=CC1CCC=CC1,O=CC1CCC=CC1,O=CC1CCC=CC1
100-51-6,CASRN,DTXSID5020152,Benzyl alcohol,OCC1=CC=CC=C1,OCC1=CC=CC=C1,OCC1=CC=CC=C1
10052-47-8,CASRN,DTXSID0044498,"N,N-Diethyl-N-methylethanaminium chloride",[Cl-].CC[N+](C)(CC)CC,CC[N+](C)(CC)CC,CC[N+](C)(CC)CC
100-52-7,CASRN,DTXSID8039241,Benzaldehyde,O=CC1=CC=CC=C1,O=CC1=CC=CC=C1,O=CC1=CC=CC=C1
100-53-8,CASRN,DTXSID6026664,Benzenemethanethiol,SCC1=CC=CC=C1,SCC1=CC=CC=C1,SCC1=CC=CC=C1
100-54-9,CASRN,DTXSID1026665,3-Pyridinecarbonitrile,N#CC1=CN=CC=C1,N#CC1=CN=CC=C1,N#CC1=CN=CC=C1
100-55-0,CASRN,DTXSID6023367,Nicotinyl alcohol,OCC1=CC=CN=C1,OCC1=CC=CN=C1,OCC1=CC=CN=C1
100-56-1,CASRN,DTXSID4042129,Phenylmercuric chloride,Cl[Hg]C1=CC=CC=C1,Cl[Hg]C1=CC=CC=C1,N/A
10061-01-5,CASRN,DTXSID1032305,(Z)-Dichloropropene,ClC\C=C/Cl,ClCC=CCl,ClCC=CCl
100-61-8,CASRN,DTXSID9021841,N-Methylaniline,CNC1=CC=CC=C1,CNC1=CC=CC=C1,CNC1=CC=CC=C1
100-63-0,CASRN,DTXSID8021147,Phenylhydrazine,NNC1=CC=CC=C1,NNC1=CC=CC=C1,NNC1=CC=CC=C1
100-64-1,CASRN,DTXSID4021842,Cyclohexanone oxime,ON=C1CCCCC1,ON=C1CCCCC1,ON=C1CCCCC1
100643-71-8,CASRN,DTXSID1044196,Desloratadine,ClC1=CC=C2C(CCC3=C(N=CC=C3)C2=C2CCNCC2)=C1,ClC1=CC=C2C(CCC3=C(N=CC=C3)C2=C2CCNCC2)=C1,ClC1=CC=C2C(CCC3=C(N=CC=C3)C2=C2CCNCC2)=C1
100-65-2,CASRN,DTXSID3025889,N-Phenylhydroxylamine,ONC1=CC=CC=C1,ONC1=CC=CC=C1,ONC1=CC=CC=C1
100678-32-8,CASRN,DTXSID0047820,Cifenline succinate,OC(=O)CCC(O)=O.C1C(C2=NCCN2)C1(C1=CC=CC=C1)C1=CC=CC=C1,"OC(=O)CCC(O)=O,C1C(C2=NCCN2)C1(C1=CC=CC=C1)C1=CC=CC=C1",C1C(C2=NCCN2)C1(C1=CC=CC=C1)C1=CC=CC=C1
100-69-6,CASRN,DTXSID1026667,2-Vinylpyridine,C=CC1=NC=CC=C1,C=CC1=NC=CC=C1,C=CC1=NC=CC=C1
100-70-9,CASRN,DTXSID9021843,2-Pyridinecarbonitrile,N#CC1=NC=CC=C1,N#CC1=NC=CC=C1,N#CC1=NC=CC=C1
1007-28-9,CASRN,DTXSID0037495,Deisopropylatrazine,CCNC1=NC(N)=NC(Cl)=N1,CCNC1=NC(N)=NC(Cl)=N1,CCNC1=NC(N)=NC(Cl)=N1
100-74-3,CASRN,DTXSID5025312,N-Ethylmorpholine,CCN1CCOCC1,CCN1CCOCC1,CCN1CCOCC1
100-75-4,CASRN,DTXSID8021060,N-Nitrosopiperidine,O=NN1CCCCC1,O=NN1CCCCC1,O=NN1CCCCC1
100-76-5,CASRN,DTXSID2057607,Quinuclidine,C1CN2CCC1CC2,C1CN2CCC1CC2,C1CN2CCC1CC2
100784-20-1,CASRN,DTXSID9034650,Halosulfuron-methyl,COC(=O)C1=C(N(C)N=C1Cl)S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1,COC(=O)C1=C(N(C)N=C1Cl)S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1,COC(=O)C1=C(N(C)N=C1Cl)S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1
100-80-1,CASRN,DTXSID9051454,3-Methylstyrene,CC1=CC(C=C)=CC=C1,CC1=CC(C=C)=CC=C1,CC1=CC(C=C)=CC=C1
10081-67-1,CASRN,DTXSID0027721,4-(2-Phenylpropan-2-yl)-N-[4-(2-phenylpropan-2-yl)phenyl]aniline,CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1,CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1,CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1
100-85-6,CASRN,DTXSID3044332,Benzyltrimethylammonium hydroxide,[OH-].C[N+](C)(C)CC1=CC=CC=C1,C[N+](C)(C)CC1=CC=CC=C1,C[N+](C)(C)CC1=CC=CC=C1
1008-65-7,CASRN,DTXSID7057608,Fenadiazole,OC1=CC=CC=C1C1=NN=CO1,OC1=CC=CC=C1C1=NN=CO1,OC1=CC=CC=C1C1=NN=CO1
100-86-7,CASRN,DTXSID1047601,"1,1-Dimethylphenylethanol",CC(C)(O)CC1=CC=CC=C1,CC(C)(O)CC1=CC=CC=C1,CC(C)(O)CC1=CC=CC=C1
1008-72-6,CASRN,DTXSID5041643,Sodium 2-formylbenzenesulfonate,[Na+].[O-]S(=O)(=O)C1=CC=CC=C1C=O,OS(=O)(=O)C1=CC=CC=C1C=O,OS(=O)(=O)C1=CC=CC=C1C=O
100-88-9,CASRN,DTXSID5041809,Cyclamic acid,OS(=O)(=O)NC1CCCCC1,OS(=O)(=O)NC1CCCCC1,OS(=O)(=O)NC1CCCCC1
10094-34-5,CASRN,DTXSID5038830,"alpha,alpha-Dimethylphenethyl butyrate",CCCC(=O)OC(C)(C)CC1=CC=CC=C1,CCCC(=O)OC(C)(C)CC1=CC=CC=C1,CCCC(=O)OC(C)(C)CC1=CC=CC=C1
1009-61-6,CASRN,DTXSID7021657,"1,4-Diacetylbenzene",CC(=O)C1=CC=C(C=C1)C(C)=O,CC(=O)C1=CC=C(C=C1)C(C)=O,CC(=O)C1=CC=C(C=C1)C(C)=O
100-97-0,CASRN,DTXSID6020692,Methenamine,C1N2CN3CN1CN(C2)C3,C1N2CN3CN1CN(C2)C3,C1N2CN3CN1CN(C2)C3
1009-93-4,CASRN,DTXSID4037748,"2,2,4,4,6,6-Hexamethylcyclotrisilazane",C[Si]1(C)N[Si](C)(C)N[Si](C)(C)N1,N/A,C[Si]1(C)N[Si](C)(C)N[Si](C)(C)N1
101001-34-7,CASRN,DTXSID4048804,Pamicogrel,CCOC(=O)CN1C=CC=C1C1=NC(=C(S1)C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1,CCOC(=O)CN1C=CC=C1C1=NC(=C(S1)C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1,CCOC(=O)CN1C=CC=C1C1=NC(=C(S1)C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1
10101-97-0,CASRN,DTXSID7020928,Nickel(II) sulfate hexahydrate,O.O.O.O.O.O.[Ni++].[O-]S([O-])(=O)=O,N/A,N/A
101-02-0,CASRN,DTXSID0026252,Triphenyl phosphite,O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1,O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1,O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1
10102-18-8,CASRN,DTXSID0032077,Sodium selenite,[Na+].[Na+].[O-][Se]([O-])=O,N/A,N/A
10102-45-1,CASRN,DTXSID1024334,Thallium nitrate,[Tl+].[O-][N+]([O-])=O,N/A,N/A
101-05-3,CASRN,DTXSID9020089,Anilazine,ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1,ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1,ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1
10108-64-2,CASRN,DTXSID6020226,Cadmium chloride,[Cl-].[Cl-].[Cd++],N/A,N/A
101-10-0,CASRN,DTXSID9034232,2-(m-Chlorophenoxy)propionic acid,CC(OC1=CC(Cl)=CC=C1)C(O)=O,CC(OC1=CC(Cl)=CC=C1)C(O)=O,CC(OC1=CC(Cl)=CC=C1)C(O)=O
101-11-1,CASRN,DTXSID5029136,3-((Ethylphenylamino)methyl)benzenesulfonic acid,CCN(CC1=CC(=CC=C1)S(O)(=O)=O)C1=CC=CC=C1,CCN(CC1=CC(=CC=C1)S(O)(=O)=O)C1=CC=CC=C1,CCN(CC1=CC(=CC=C1)S(O)(=O)=O)C1=CC=CC=C1
101-14-4,CASRN,DTXSID5020865,"4,4'-Methylenebis(2-chloroaniline)",NC1=C(Cl)C=C(CC2=CC(Cl)=C(N)C=C2)C=C1,NC1=C(Cl)C=C(CC2=CC(Cl)=C(N)C=C2)C=C1,NC1=C(Cl)C=C(CC2=CC(Cl)=C(N)C=C2)C=C1
101152-94-7,CASRN,DTXSID4046785,Milnacipran hydrochloride,Cl.CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C1=CC=CC=C1,CCN(CC)C(=O)C1(CC1CN)C1=CC=CC=C1,CCN(CC)C(=O)C1(CC1CN)C1=CC=CC=C1
101-18-8,CASRN,DTXSID1025431,3-Hydroxy-N-phenylaniline,OC1=CC=CC(NC2=CC=CC=C2)=C1,OC1=CC=CC(NC2=CC=CC=C2)=C1,OC1=CC=CC(NC2=CC=CC=C2)=C1
10118-90-8,CASRN,DTXSID1045033,Minocycline,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C(O)=CC=C4N(C)C)C(=O)C3=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O,CN(C)C1C2CC3CC4=C(C(O)=CC=C4N(C)C)C(=O)C3C(=O)C2(O)C(=O)C(C(N)=O)C1=O,CN(C)C1C2CC3CC4=C(C(O)=CC=C4N(C)C)C(=O)C3C(=O)C2(O)C(=O)C(C(N)=O)C1=O
101200-48-0,CASRN,DTXSID8024101,Tribenuron-methyl,COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)N(C)C1=NC(OC)=NC(C)=N1,COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)N(C)C1=NC(OC)=NC(C)=N1,COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)N(C)C1=NC(OC)=NC(C)=N1
101-20-2,CASRN,DTXSID4026214,Triclocarban,ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1,ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1,ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1
101-21-3,CASRN,DTXSID7020764,Chlorpropham,CC(C)OC(=O)NC1=CC=CC(Cl)=C1,CC(C)OC(=O)NC1=CC=CC(Cl)=C1,CC(C)OC(=O)NC1=CC=CC(Cl)=C1
10124-37-5,CASRN,DTXSID1039719,"Nitric acid, calcium salt (2:1)",[Ca++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,N/A,N/A
101-26-8,CASRN,DTXSID9023540,Pyridostigmine bromide,[Br-].CN(C)C(=O)OC1=CC=C[N+](C)=C1,CN(C)C(=O)OC1=C[N+](C)=CC=C1,CN(C)C(=O)OC1=C[N+](C)=CC=C1
101-27-9,CASRN,DTXSID3041617,Barban,ClCC#CCOC(=O)NC1=CC=CC(Cl)=C1,ClCC#CCOC(=O)NC1=CC=CC(Cl)=C1,ClCC#CCOC(=O)NC1=CC=CC(Cl)=C1
101312-92-9,CASRN,DTXSID2046751,Valnemulin,CC(C)[C@@H](N)C(=O)NCC(C)(C)SCC(=O)O[C@@H]1C[C@@](C)(C=C)[C@@H](O)[C@H](C)[C@]23CCC(=O)[C@H]2[C@@]1(C)[C@H](C)CC3,CC(C)C(N)C(=O)NCC(C)(C)SCC(=O)OC1CC(C)(C=C)C(O)C(C)C23CCC(=O)C2C1(C)C(C)CC3,CC(C)C(N)C(=O)NCC(C)(C)SCC(=O)OC1CC(C)(C=C)C(O)C(C)C23CCC(=O)C2C1(C)C(C)CC3
101-37-1,CASRN,DTXSID8037754,"2,4,6-Tris(allyloxy)-1,3,5-triazine",C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1,C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1,C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1
101-39-3,CASRN,DTXSID4025587,2-Methylcinnamic aldehyde,CC(C=O)=CC1=CC=CC=C1,CC(C=O)=CC1=CC=CC=C1,CC(C=O)=CC1=CC=CC=C1
101-40-6,CASRN,DTXSID1023526,(+/-) Propylhexedrine,CNC(C)CC1CCCCC1,CNC(C)CC1CCCCC1,CNC(C)CC1CCCCC1
101-41-7,CASRN,DTXSID1044352,Methyl phenylacetate,COC(=O)CC1=CC=CC=C1,COC(=O)CC1=CC=CC=C1,COC(=O)CC1=CC=CC=C1
101-42-8,CASRN,DTXSID7037551,Fenuron,CN(C)C(=O)NC1=CC=CC=C1,CN(C)C(=O)NC1=CC=CC=C1,CN(C)C(=O)NC1=CC=CC=C1
101463-69-8,CASRN,DTXSID1041978,Flufenoxuron,FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=C(F)C=C(OC2=C(Cl)C=C(C=C2)C(F)(F)F)C=C1,FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=C(F)C=C(OC2=C(Cl)C=C(C=C2)C(F)(F)F)C=C1,FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=C(F)C=C(OC2=C(Cl)C=C(C=C2)C(F)(F)F)C=C1
1014-70-6,CASRN,DTXSID8037596,Simetryn,CCNC1=NC(SC)=NC(NCC)=N1,CCNC1=NC(SC)=NC(NCC)=N1,CCNC1=NC(SC)=NC(NCC)=N1
10147-40-7,CASRN,DTXSID7044500,Dodecane-1-sulfonyl chloride,CCCCCCCCCCCCS(Cl)(=O)=O,CCCCCCCCCCCCS(Cl)(=O)=O,CCCCCCCCCCCCS(Cl)(=O)=O
101477-54-7,CASRN,DTXSID1046427,Lomerizine dihydrochloride,Cl.Cl.COC1=CC=C(CN2CCN(CC2)C(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)C(OC)=C1OC,COC1=CC=C(CN2CCN(CC2)C(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)C(OC)=C1OC,COC1=CC=C(CN2CCN(CC2)C(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)C(OC)=C1OC
101-48-4,CASRN,DTXSID3047001,Phenylacetaldehyde dimethyl acetal,COC(CC1=CC=CC=C1)OC,COC(CC1=CC=CC=C1)OC,COC(CC1=CC=CC=C1)OC
101526-62-9,CASRN,DTXSID6049016,Sematilide monohydrochloride,Cl.CCN(CC)CCNC(=O)C1=CC=C(NS(C)(=O)=O)C=C1,CCN(CC)CCNC(=O)C1=CC=C(NS(C)(=O)=O)C=C1,CCN(CC)CCNC(=O)C1=CC=C(NS(C)(=O)=O)C=C1
101530-10-3,CASRN,DTXSID6046428,Lanoconazole,ClC1=C(C=CC=C1)C1CS\C(S1)=C(/C#N)N1C=CN=C1,ClC1=CC=CC=C1C1CSC(S1)=C(C#N)N1C=CN=C1,ClC1=CC=CC=C1C1CSC(S1)=C(C#N)N1C=CN=C1
101-53-1,CASRN,DTXSID9047962,4-Benzylphenol,OC1=CC=C(CC2=CC=CC=C2)C=C1,OC1=CC=C(CC2=CC=CC=C2)C=C1,OC1=CC=C(CC2=CC=CC=C2)C=C1
101-54-2,CASRN,DTXSID7025895,"N-Phenyl-1,4-benzenediamine",NC1=CC=C(NC2=CC=CC=C2)C=C1,NC1=CC=C(NC2=CC=CC=C2)C=C1,NC1=CC=C(NC2=CC=CC=C2)C=C1
101-55-3,CASRN,DTXSID8023927,p-Bromodiphenyl ether,BrC1=CC=C(OC2=CC=CC=C2)C=C1,BrC1=CC=C(OC2=CC=CC=C2)C=C1,BrC1=CC=C(OC2=CC=CC=C2)C=C1
