,Inside,AUC_ROC,AUC_PR,F1,B_A,Precision,Recall,Specificity,TP,TN,FP,FN,Outside,AUC_ROC_o,AUC_PR_o,F1_o,B_A_o,Precision_o,Recall_o,Specificity_o,TP_o,TN_o,FP_o,FN_o
TOX21_ELG1_LUC_Agonist,772.0,0.8221642764015645,0.4442414407706008,0.3333333333333333,0.6,1.0,0.2,1.0,1.0,767.0,0.0,4.0,41.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,41.0,0.0,0.0
TOX21_AhR_LUC_Agonist,781.0,0.8006925901201603,0.191427442188438,0.2133333333333333,0.6016355140186915,0.1860465116279069,0.25,0.9532710280373832,8.0,714.0,35.0,24.0,28.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,28.0,0.0,0.0
TOX21_Aromatase_Inhibition,763.0,0.773024759501656,0.2852063986866034,0.4285714285714285,0.6731193818009777,0.5454545454545454,0.3529411764705882,0.9932975871313672,6.0,741.0,5.0,11.0,49.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,49.0,0.0,0.0
TOX21_AR_BLA_Agonist_ratio,766.0,0.8629594119527005,0.4752629480378584,0.611111111111111,0.7592201981463726,0.7333333333333333,0.5238095238095238,0.9946308724832216,11.0,741.0,4.0,10.0,45.0,0.7835365853658536,0.7723684210526316,0.8571428571428571,0.875,1.0,0.75,1.0,3.0,41.0,0.0,1.0
TOX21_AR_BLA_Antagonist_ratio,757.0,0.7414354732450039,0.3175126781347874,0.3733333333333333,0.6682160895981261,0.3783783783783784,0.3684210526315789,0.9680111265646733,14.0,696.0,23.0,24.0,52.0,0.58,0.0688746438746438,0.0,0.46,0.0,0.0,0.92,0.0,46.0,4.0,2.0
TOX21_AR_LUC_MDAKB2_Agonist,768.0,0.8029490616621985,0.5641389737859375,0.5641025641025642,0.7459785522788204,0.6470588235294118,0.5,0.9919571045576407,11.0,740.0,6.0,11.0,43.0,1.0,1.0,0.9473684210526316,0.9852941176470588,0.9,1.0,0.9705882352941176,9.0,33.0,1.0,0.0
TOX21_p53_BLA_p1_ratio,770.0,0.904407894736842,0.2469872391100615,0.3076923076923076,0.5993421052631579,0.6666666666666666,0.2,0.9986842105263158,2.0,759.0,1.0,8.0,42.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.0,0.0,0.0
TOX21_p53_BLA_p2_ratio,773.0,0.6503292806484295,0.1352459840499806,0.2564102564102564,0.6104040020263425,0.2777777777777778,0.238095238095238,0.9827127659574468,5.0,739.0,13.0,16.0,35.0,0.931818181818182,0.6214285714285714,0.6666666666666666,0.75,1.0,0.5,1.0,1.0,33.0,0.0,1.0
TOX21_p53_BLA_p3_ratio,783.0,0.7151763571231744,0.1790717109660701,0.2068965517241379,0.5743662165885919,0.3,0.1578947368421052,0.9908376963350786,3.0,757.0,7.0,16.0,25.0,0.0,0.0,0.0,0.48,0.0,0.0,0.96,0.0,24.0,1.0,0.0
TOX21_p53_BLA_p4_ratio,768.0,0.5892204122340426,0.0392220985421798,0.1025641025641025,0.5485372340425532,0.0869565217391304,0.125,0.9720744680851064,2.0,731.0,21.0,14.0,43.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,42.0,0.0,1.0
TOX21_p53_BLA_p5_ratio,793.0,0.6562902187902188,0.0923944674313322,0.1052631578947368,0.5299629987129988,0.3333333333333333,0.0625,0.9974259974259976,1.0,775.0,2.0,15.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.0,0.0
TOX21_ERa_BLA_Agonist_ratio,768.0,0.8103704864102764,0.450584074232658,0.5714285714285714,0.7332967807629043,0.7272727272727273,0.4705882352941176,0.996005326231691,8.0,748.0,3.0,9.0,44.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,44.0,0.0,0.0
TOX21_ERa_BLA_Antagonist_ratio,788.0,0.6526367187500001,0.0689915696913356,0.1290322580645161,0.544140625,0.1818181818181818,0.1,0.98828125,2.0,759.0,9.0,18.0,21.0,0.95,0.25,0.6666666666666666,0.975,0.5,1.0,0.95,1.0,19.0,1.0,0.0
TOX21_GR_BLA_Agonist_ratio,784.0,0.9727626459143968,0.8362829807685268,0.8461538461538461,0.921779906215704,0.8461538461538461,0.8461538461538461,0.9974059662775616,11.0,769.0,2.0,2.0,27.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,27.0,0.0,0.0
TOX21_GR_BLA_Antagonist_ratio,768.0,0.8293050022133687,0.3800740788816086,0.3846153846153846,0.6626826029216467,0.4545454545454545,0.3333333333333333,0.9920318725099602,5.0,747.0,6.0,10.0,43.0,0.7833333333333333,0.3091168091168091,0.6666666666666666,0.8208333333333333,0.6666666666666666,0.6666666666666666,0.975,2.0,39.0,1.0,1.0
TOX21_TR_LUC_GH3_Agonist,775.0,0.7864853195164074,0.0742773125498623,0.3333333333333333,0.6653713298791019,0.3333333333333333,0.3333333333333333,0.9974093264248703,1.0,770.0,2.0,2.0,39.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,39.0,0.0,0.0
TOX21_TR_LUC_GH3_Antagonist,807.0,0.7693581390339777,0.2127677919165166,0.2799999999999999,0.6184508104033171,0.2745098039215686,0.2857142857142857,0.9511873350923484,14.0,721.0,37.0,35.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0
TOX21_PPARg_BLA_Agonist_ratio,769.0,0.8596186135763972,0.3293869495043812,0.2857142857142857,0.5902494603022308,0.6666666666666666,0.1818181818181818,0.9986807387862796,2.0,757.0,1.0,9.0,43.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,43.0,0.0,0.0
NVS_ADME_hCYP2B6,8.0,0.6875,0.6916666666666667,0.5714285714285715,0.625,0.6666666666666666,0.5,0.75,2.0,3.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0
NVS_ADME_hCYP1A2,16.0,0.6484375,0.7604569042069043,0.5714285714285715,0.625,0.6666666666666666,0.5,0.75,4.0,6.0,2.0,4.0,2.0,0.0,1.0,0.6666666666666666,,1.0,0.5,,1.0,0.0,0.0,1.0
NCCT_TPO_AUR_dn,49.0,0.7583333333333334,0.747225483399949,0.7241379310344828,0.6699999999999999,0.6363636363636364,0.84,0.5,21.0,12.0,12.0,4.0,7.0,0.0,0.0,0.0,0.4285714285714285,0.0,0.0,0.8571428571428571,0.0,6.0,1.0,0.0
