,Assay,FingerPrints,Algorithms,AUC_ROC,AUC_PR,F1,B_A,Precision,Recall,Specificity,TP,TN,FP,FN
24,TOX21_AhR_LUC_Agonist,Pattern,MLP,0.8037,0.2034,0.286,0.7146,0.1984,0.5156,0.9136118943860548,167.0,7128.0,674.0,157.0
25,TOX21_AhR_LUC_Agonist,Pattern,GBT,0.8346,0.2276,0.2917,0.7031,0.2098,0.4813,0.9250192258395283,156.0,7217.0,585.0,168.0
26,TOX21_AhR_LUC_Agonist,Pattern,RF,0.8356,0.2711,0.3019,0.6594,0.2608,0.3614,0.9574468085106383,117.0,7470.0,332.0,207.0
27,TOX21_AhR_LUC_Agonist,Pattern,LR,0.8017,0.1925,0.2664,0.7374,0.172,0.5932,0.8816970007690336,192.0,6879.0,923.0,132.0
28,TOX21_AhR_LUC_Agonist,Pattern,KNN,0.7735,0.3597,0.1942,0.7387,0.1126,0.7101,0.7672391694437324,230.0,5986.0,1816.0,94.0
29,TOX21_AhR_LUC_Agonist,Pattern,NB,0.5536,0.405,0.0873,0.555,0.0463,0.7572,0.3528582414765445,245.0,2753.0,5049.0,79.0
30,TOX21_Aromatase_Inhibition,MACCS,MLP,0.7482,0.1732,0.2425,0.6601,0.1871,0.3511,0.9691785130205057,58.0,7704.0,245.0,107.0
31,TOX21_Aromatase_Inhibition,MACCS,GBT,0.7355,0.1546,0.2271,0.6075,0.1865,0.2338,0.9811297018492893,39.0,7799.0,150.0,126.0
32,TOX21_Aromatase_Inhibition,MACCS,RF,0.7859,0.208,0.3167,0.6341,0.3822,0.2779,0.9903132469493018,46.0,7872.0,77.0,119.0
33,TOX21_Aromatase_Inhibition,MACCS,LR,0.7079,0.1031,0.0941,0.6686,0.0515,0.5452,0.7920493143791671,90.0,6296.0,1653.0,75.0
34,TOX21_Aromatase_Inhibition,MACCS,KNN,0.728,0.2977,0.1391,0.7047,0.0799,0.5386,0.8708013586614669,89.0,6922.0,1027.0,76.0
35,TOX21_Aromatase_Inhibition,MACCS,NB,0.5442,0.3839,0.046,0.5612,0.0236,0.8721,0.25034595546609634,144.0,1990.0,5959.0,21.0
36,TOX21_Aromatase_Inhibition,Morgan,MLP,0.7161,0.2442,0.3233,0.6916,0.2714,0.4059,0.9772355678531003,67.0,7770.0,181.0,98.0
37,TOX21_Aromatase_Inhibition,Morgan,GBT,0.7394,0.1997,0.3065,0.6556,0.2945,0.3276,0.9836498553641051,54.0,7821.0,130.0,111.0
38,TOX21_Aromatase_Inhibition,Morgan,RF,0.774,0.2621,0.3617,0.6507,0.4614,0.3088,0.9925795497421708,51.0,7892.0,59.0,114.0
39,TOX21_Aromatase_Inhibition,Morgan,LR,0.754,0.2389,0.2704,0.6995,0.1972,0.4357,0.9634008300842661,72.0,7660.0,291.0,93.0
40,TOX21_Aromatase_Inhibition,Morgan,KNN,0.7266,0.2837,0.1206,0.6966,0.0678,0.5507,0.8424097597786442,91.0,6698.0,1253.0,74.0
41,TOX21_Aromatase_Inhibition,Morgan,NB,0.5716,0.1532,0.0791,0.5716,0.0473,0.2437,0.8995094956609232,40.0,7152.0,799.0,125.0
42,TOX21_Aromatase_Inhibition,Rdkit,MLP,0.7111,0.2441,0.2618,0.685,0.1946,0.4055,0.9645059786028949,67.0,7663.0,282.0,98.0
43,TOX21_Aromatase_Inhibition,Rdkit,GBT,0.735,0.2377,0.3158,0.6376,0.362,0.2846,0.9905601006922593,47.0,7870.0,75.0,118.0
44,TOX21_Aromatase_Inhibition,Rdkit,RF,0.7713,0.2824,0.3594,0.6446,0.4597,0.2967,0.9925739458779106,49.0,7886.0,59.0,116.0
45,TOX21_Aromatase_Inhibition,Rdkit,LR,0.7184,0.1866,0.2348,0.6941,0.1614,0.4356,0.95254877281309,72.0,7568.0,377.0,93.0
46,TOX21_Aromatase_Inhibition,Rdkit,KNN,0.7194,0.295,0.1195,0.6981,0.067,0.5577,0.8385147891755821,92.0,6662.0,1283.0,73.0
47,TOX21_Aromatase_Inhibition,Rdkit,NB,0.5115,0.2203,0.0382,0.4946,0.02,0.4478,0.5414726242920076,74.0,4302.0,3643.0,91.0
48,TOX21_Aromatase_Inhibition,Layerd,MLP,0.7233,0.1968,0.2591,0.6828,0.192,0.4,0.9656301145662848,66.0,7670.0,273.0,99.0
49,TOX21_Aromatase_Inhibition,Layerd,GBT,0.7182,0.2389,0.3124,0.6458,0.3282,0.3037,0.9879138864408914,50.0,7847.0,96.0,115.0
50,TOX21_Aromatase_Inhibition,Layerd,RF,0.7964,0.3,0.3458,0.6439,0.4271,0.2963,0.9915648999118721,49.0,7876.0,67.0,116.0
51,TOX21_Aromatase_Inhibition,Layerd,LR,0.7203,0.1771,0.2415,0.6955,0.1676,0.4357,0.9554324562507869,72.0,7589.0,354.0,93.0
52,TOX21_Aromatase_Inhibition,Layerd,KNN,0.7367,0.2821,0.1323,0.7196,0.0745,0.593,0.8461538461538461,98.0,6721.0,1222.0,67.0
53,TOX21_Aromatase_Inhibition,Layerd,NB,0.4762,0.2986,0.0352,0.4651,0.0181,0.5695,0.36069495152964876,94.0,2865.0,5078.0,71.0
54,TOX21_Aromatase_Inhibition,Pattern,MLP,0.7556,0.2328,0.2912,0.7072,0.2163,0.4482,0.9663570173236254,74.0,7698.0,268.0,91.0
55,TOX21_Aromatase_Inhibition,Pattern,GBT,0.7675,0.2175,0.3489,0.6764,0.335,0.368,0.9848104443886517,61.0,7845.0,121.0,104.0
56,TOX21_Aromatase_Inhibition,Pattern,RF,0.7936,0.2828,0.4055,0.6832,0.4564,0.3757,0.9905849861913131,62.0,7891.0,75.0,103.0
57,TOX21_Aromatase_Inhibition,Pattern,LR,0.7471,0.1632,0.2069,0.692,0.1359,0.4419,0.9421290484559377,73.0,7505.0,461.0,92.0
58,TOX21_Aromatase_Inhibition,Pattern,KNN,0.745,0.3002,0.1175,0.7126,0.065,0.6052,0.8199849359779061,100.0,6532.0,1434.0,65.0
59,TOX21_Aromatase_Inhibition,Pattern,NB,0.5158,0.3169,0.0413,0.5159,0.0214,0.6044,0.42744162691438614,100.0,3405.0,4561.0,65.0
60,TOX21_VDR_BLA_agonist_ratio,MACCS,MLP,0.706,0.0388,0.2159,0.5467,0.0278,0.1,0.9934551404417781,2.0,7286.0,48.0,15.0
61,TOX21_VDR_BLA_agonist_ratio,MACCS,GBT,0.7444,0.1688,0.6667,0.524,0.1429,0.05,0.9979547313880557,1.0,7319.0,15.0,16.0
62,TOX21_VDR_BLA_agonist_ratio,MACCS,RF,0.6627,0.1166,,0.4996,0.0,0.0,0.9991818925552223,0.0,7328.0,6.0,17.0
63,TOX21_VDR_BLA_agonist_ratio,MACCS,LR,0.7313,0.032,0.1323,0.6403,0.0294,0.3,0.9805017725661304,5.0,7191.0,143.0,12.0
64,TOX21_VDR_BLA_agonist_ratio,MACCS,KNN,0.6055,0.0619,0.0805,0.6112,0.0173,0.25,0.9723206981183529,4.0,7131.0,203.0,13.0
65,TOX21_VDR_BLA_agonist_ratio,MACCS,NB,0.4987,0.227,0.0081,0.4987,0.0028,0.45,0.547313880556313,9.0,4014.0,3320.0,8.0
66,TOX21_VDR_BLA_agonist_ratio,Morgan,MLP,0.6336,0.1651,0.475,0.599,0.2315,0.2,0.9980921231943308,4.0,7324.0,14.0,13.0
67,TOX21_VDR_BLA_agonist_ratio,Morgan,GBT,0.7252,0.0404,0.4,0.5245,0.0667,0.05,0.9990460615971655,1.0,7331.0,7.0,16.0
68,TOX21_VDR_BLA_agonist_ratio,Morgan,RF,0.6862,0.2057,0.5,0.5497,0.3125,0.1,0.9993186154265468,2.0,7333.0,5.0,15.0
69,TOX21_VDR_BLA_agonist_ratio,Morgan,LR,0.795,0.1675,0.3958,0.5976,0.1667,0.2,0.9950940310711366,4.0,7302.0,36.0,13.0
70,TOX21_VDR_BLA_agonist_ratio,Morgan,KNN,0.6082,0.1442,0.0966,0.6129,0.0269,0.25,0.975742709185064,5.0,7160.0,178.0,12.0
71,TOX21_VDR_BLA_agonist_ratio,Morgan,NB,0.5489,0.1136,0.5,0.5489,0.125,0.1,0.9978195693649495,2.0,7322.0,16.0,15.0
72,TOX21_VDR_BLA_agonist_ratio,Rdkit,MLP,0.5958,0.2196,0.4355,0.6476,0.1869,0.3,0.995092693565976,5.0,7300.0,36.0,12.0
73,TOX21_VDR_BLA_agonist_ratio,Rdkit,GBT,0.6912,0.1773,0.4306,0.6232,0.1393,0.25,0.9964558342420938,4.0,7310.0,26.0,13.0
74,TOX21_VDR_BLA_agonist_ratio,Rdkit,RF,0.6942,0.1826,0.6666,0.574,0.1562,0.15,0.9979552889858233,2.0,7321.0,15.0,15.0
75,TOX21_VDR_BLA_agonist_ratio,Rdkit,LR,0.6664,0.2223,0.2471,0.6462,0.0792,0.3,0.9923664122137404,5.0,7280.0,56.0,12.0
76,TOX21_VDR_BLA_agonist_ratio,Rdkit,KNN,0.7021,0.2087,0.0343,0.6561,0.0106,0.4,0.9122137404580153,7.0,6692.0,644.0,10.0
77,TOX21_VDR_BLA_agonist_ratio,Rdkit,NB,0.583,0.2274,0.0114,0.5847,0.0035,0.45,0.7194656488549618,8.0,5278.0,2058.0,9.0
78,TOX21_VDR_BLA_agonist_ratio,Layerd,MLP,0.6512,0.1022,0.3353,0.6223,0.0926,0.25,0.9945474372955289,4.0,7296.0,40.0,13.0
79,TOX21_VDR_BLA_agonist_ratio,Layerd,GBT,0.75,0.0963,0.5556,0.5992,0.2037,0.2,0.9985005452562704,3.0,7325.0,11.0,14.0
80,TOX21_VDR_BLA_agonist_ratio,Layerd,RF,0.738,0.169,0.75,0.5744,0.1875,0.15,0.9989094874591058,2.0,7328.0,8.0,15.0
81,TOX21_VDR_BLA_agonist_ratio,Layerd,LR,0.7036,0.1021,0.2621,0.6215,0.0686,0.25,0.9929116684841875,4.0,7284.0,52.0,13.0
82,TOX21_VDR_BLA_agonist_ratio,Layerd,KNN,0.6722,0.1394,0.061,0.6768,0.0192,0.4,0.9536532170119957,7.0,6996.0,340.0,10.0
83,TOX21_VDR_BLA_agonist_ratio,Layerd,NB,0.6279,0.159,0.0612,0.6279,0.0163,0.3,0.9558342420937841,5.0,7012.0,324.0,12.0
84,TOX21_VDR_BLA_agonist_ratio,Pattern,MLP,0.6278,0.164,0.4127,0.5972,0.09,0.2,0.9944111232279171,3.0,7295.0,41.0,14.0
85,TOX21_VDR_BLA_agonist_ratio,Pattern,GBT,0.6502,0.1612,0.5,0.5737,0.0833,0.15,0.9974100327153762,2.0,7317.0,19.0,15.0
86,TOX21_VDR_BLA_agonist_ratio,Pattern,RF,0.7181,0.2213,0.7222,0.5996,0.3571,0.2,0.9991821155943293,3.0,7330.0,6.0,14.0
87,TOX21_VDR_BLA_agonist_ratio,Pattern,LR,0.6682,0.2181,0.2887,0.6215,0.0783,0.25,0.9929116684841875,4.0,7284.0,52.0,13.0
88,TOX21_VDR_BLA_agonist_ratio,Pattern,KNN,0.6489,0.1628,0.0549,0.6279,0.0144,0.3,0.9558342420937841,5.0,7012.0,324.0,12.0
89,TOX21_VDR_BLA_agonist_ratio,Pattern,NB,0.6032,0.1541,0.0259,0.6032,0.0066,0.3,0.9063522355507089,5.0,6649.0,687.0,12.0
90,TOX21_VDR_BLA_antagonist_ratio,MACCS,MLP,0.7709,0.1868,0.2279,0.6409,0.1111,0.2917,0.9901666211417646,9.0,7250.0,72.0,23.0
91,TOX21_VDR_BLA_antagonist_ratio,MACCS,GBT,0.88,0.1759,0.4159,0.6096,0.2083,0.225,0.9941272876263316,7.0,7279.0,43.0,25.0
92,TOX21_VDR_BLA_antagonist_ratio,MACCS,RF,0.774,0.1503,0.5666,0.5487,0.1481,0.1,0.9974050805790767,3.0,7303.0,19.0,29.0
93,TOX21_VDR_BLA_antagonist_ratio,MACCS,LR,0.8028,0.2058,0.1607,0.7145,0.087,0.45,0.9791040699262497,14.0,7169.0,153.0,18.0
94,TOX21_VDR_BLA_antagonist_ratio,MACCS,KNN,0.7219,0.1499,0.1033,0.665,0.0403,0.3667,0.9633979786943458,11.0,7054.0,268.0,21.0
95,TOX21_VDR_BLA_antagonist_ratio,MACCS,NB,0.5276,0.324,0.0096,0.5274,0.0048,0.6417,0.4131384867522535,21.0,3025.0,4297.0,11.0
96,TOX21_VDR_BLA_antagonist_ratio,Morgan,MLP,0.7298,0.126,0.2518,0.5874,0.0983,0.1833,0.9913993174061434,6.0,7262.0,63.0,26.0
97,TOX21_VDR_BLA_antagonist_ratio,Morgan,GBT,0.8107,0.041,0.25,0.5319,0.0571,0.0667,0.9971331058020478,2.0,7304.0,21.0,30.0
98,TOX21_VDR_BLA_antagonist_ratio,Morgan,RF,0.7781,0.1108,0.2778,0.5277,0.0667,0.0583,0.9969965870307167,2.0,7303.0,22.0,30.0
99,TOX21_VDR_BLA_antagonist_ratio,Morgan,LR,0.7508,0.1358,0.2559,0.6158,0.1212,0.2417,0.9898976109215017,8.0,7251.0,74.0,24.0
100,TOX21_VDR_BLA_antagonist_ratio,Morgan,KNN,0.6804,0.1653,0.0493,0.6769,0.0206,0.45,0.903754266211604,15.0,6620.0,705.0,17.0
101,TOX21_VDR_BLA_antagonist_ratio,Morgan,NB,0.5305,0.0578,0.2679,0.5305,0.045,0.0667,0.9942662116040956,2.0,7283.0,42.0,30.0
102,TOX21_VDR_BLA_antagonist_ratio,Rdkit,MLP,0.7492,0.0876,0.1759,0.6197,0.0533,0.2583,0.9810958904109589,8.0,7162.0,138.0,24.0
103,TOX21_VDR_BLA_antagonist_ratio,Rdkit,GBT,0.7342,0.0763,0.2023,0.6225,0.0797,0.2583,0.9865753424657534,8.0,7202.0,98.0,24.0
104,TOX21_VDR_BLA_antagonist_ratio,Rdkit,RF,0.693,0.0895,0.2849,0.592,0.0813,0.1917,0.9923287671232877,6.0,7244.0,56.0,26.0
105,TOX21_VDR_BLA_antagonist_ratio,Rdkit,LR,0.7557,0.1059,0.1471,0.6177,0.0431,0.2583,0.976986301369863,8.0,7132.0,168.0,24.0
106,TOX21_VDR_BLA_antagonist_ratio,Rdkit,KNN,0.7029,0.1768,0.0448,0.6835,0.0187,0.475,0.8920547945205479,15.0,6512.0,788.0,17.0
107,TOX21_VDR_BLA_antagonist_ratio,Rdkit,NB,0.5205,0.1146,0.0326,0.5491,0.0085,0.2167,0.8815068493150685,7.0,6435.0,865.0,25.0
108,TOX21_VDR_BLA_antagonist_ratio,Layerd,MLP,0.7806,0.1677,0.3144,0.6379,0.146,0.2833,0.9924647211946842,9.0,7244.0,55.0,23.0
109,TOX21_VDR_BLA_antagonist_ratio,Layerd,GBT,0.7829,0.1502,0.3694,0.6072,0.4024,0.2167,0.9976709138238115,7.0,7282.0,17.0,25.0
110,TOX21_VDR_BLA_antagonist_ratio,Layerd,RF,0.7689,0.1735,0.3828,0.6073,0.4166,0.2167,0.9979449239621866,7.0,7284.0,15.0,25.0
111,TOX21_VDR_BLA_antagonist_ratio,Layerd,LR,0.7807,0.1891,0.2902,0.6378,0.1325,0.2833,0.9923277161254966,9.0,7243.0,56.0,23.0
112,TOX21_VDR_BLA_antagonist_ratio,Layerd,KNN,0.7058,0.1483,0.0767,0.6309,0.025,0.3083,0.9534182764762297,10.0,6959.0,340.0,22.0
113,TOX21_VDR_BLA_antagonist_ratio,Layerd,NB,0.4846,0.1618,0.0096,0.4846,0.0039,0.3167,0.6524181394711605,10.0,4762.0,2537.0,22.0
114,TOX21_VDR_BLA_antagonist_ratio,Pattern,MLP,0.7008,0.0989,0.29,0.5877,0.1324,0.1833,0.9920819112627987,6.0,7267.0,58.0,26.0
115,TOX21_VDR_BLA_antagonist_ratio,Pattern,GBT,0.8385,0.1246,0.3701,0.5812,0.15,0.1667,0.9957679180887372,6.0,7294.0,31.0,26.0
116,TOX21_VDR_BLA_antagonist_ratio,Pattern,RF,0.7916,0.1238,0.3409,0.5687,0.1736,0.1417,0.9957679180887372,5.0,7294.0,31.0,27.0
117,TOX21_VDR_BLA_antagonist_ratio,Pattern,LR,0.7697,0.1081,0.2594,0.603,0.0993,0.2167,0.9892150170648464,7.0,7246.0,79.0,25.0
118,TOX21_VDR_BLA_antagonist_ratio,Pattern,KNN,0.6545,0.1734,0.0985,0.6593,0.0385,0.3583,0.9602730375426621,12.0,7034.0,291.0,20.0
119,TOX21_VDR_BLA_antagonist_ratio,Pattern,NB,0.4649,0.145,0.0114,0.4649,0.0035,0.2833,0.6464163822525597,9.0,4735.0,2590.0,23.0
120,TOX21_AR_BLA_Agonist_ratio,MACCS,MLP,0.8147,0.4662,0.4246,0.7685,0.3394,0.5732,0.9638538882525137,144.0,7573.0,284.0,107.0
121,TOX21_AR_BLA_Agonist_ratio,MACCS,GBT,0.8146,0.5231,0.5338,0.7647,0.5276,0.5455,0.983963344788087,137.0,7731.0,126.0,114.0
122,TOX21_AR_BLA_Agonist_ratio,MACCS,RF,0.8472,0.5545,0.5777,0.7635,0.6358,0.5374,0.9895634466081201,135.0,7775.0,82.0,116.0
123,TOX21_AR_BLA_Agonist_ratio,MACCS,LR,0.8088,0.3847,0.1949,0.7557,0.1138,0.6809,0.8304696449026346,171.0,6525.0,1332.0,80.0
124,TOX21_AR_BLA_Agonist_ratio,MACCS,KNN,0.7975,0.4073,0.2165,0.7651,0.1291,0.6768,0.8533791523482245,170.0,6705.0,1152.0,81.0
125,TOX21_AR_BLA_Agonist_ratio,MACCS,NB,0.6133,0.4092,0.0806,0.6164,0.0423,0.8406,0.3922616774850452,211.0,3082.0,4775.0,40.0
126,TOX21_AR_BLA_Agonist_ratio,Morgan,MLP,0.7955,0.4961,0.392,0.7515,0.3095,0.5417,0.9612698412698413,136.0,7570.0,305.0,115.0
127,TOX21_AR_BLA_Agonist_ratio,Morgan,GBT,0.8212,0.5107,0.5204,0.7677,0.5021,0.5538,0.9815873015873016,139.0,7730.0,145.0,112.0
128,TOX21_AR_BLA_Agonist_ratio,Morgan,RF,0.8204,0.5479,0.5634,0.7702,0.5823,0.5538,0.9866666666666667,139.0,7770.0,105.0,112.0
129,TOX21_AR_BLA_Agonist_ratio,Morgan,LR,0.8048,0.5029,0.371,0.7659,0.2748,0.5817,0.9500952380952381,146.0,7482.0,393.0,105.0
130,TOX21_AR_BLA_Agonist_ratio,Morgan,KNN,0.7711,0.3781,0.1452,0.7248,0.081,0.7055,0.7441269841269841,177.0,5860.0,2015.0,74.0
131,TOX21_AR_BLA_Agonist_ratio,Morgan,NB,0.6486,0.2692,0.159,0.6486,0.0983,0.4223,0.8749206349206349,106.0,6890.0,985.0,145.0
132,TOX21_AR_BLA_Agonist_ratio,Rdkit,MLP,0.7997,0.4584,0.3544,0.7551,0.2605,0.5614,0.948907906501469,141.0,7429.0,400.0,110.0
133,TOX21_AR_BLA_Agonist_ratio,Rdkit,GBT,0.8049,0.5392,0.5694,0.7669,0.6151,0.5452,0.9885042789628306,137.0,7739.0,90.0,114.0
134,TOX21_AR_BLA_Agonist_ratio,Rdkit,RF,0.8007,0.5357,0.5425,0.7634,0.55,0.5412,0.985566483586665,136.0,7716.0,113.0,115.0
135,TOX21_AR_BLA_Agonist_ratio,Rdkit,LR,0.8029,0.4479,0.3242,0.7553,0.2272,0.5735,0.9370289947630605,144.0,7336.0,493.0,107.0
136,TOX21_AR_BLA_Agonist_ratio,Rdkit,KNN,0.7486,0.3552,0.1547,0.7156,0.0879,0.6449,0.7861795887086473,162.0,6155.0,1674.0,89.0
137,TOX21_AR_BLA_Agonist_ratio,Rdkit,NB,0.7503,0.3724,0.3459,0.745,0.2555,0.5412,0.9487801762677226,136.0,7428.0,401.0,115.0
138,TOX21_AR_BLA_Agonist_ratio,Layerd,MLP,0.8,0.49,0.4087,0.7654,0.3206,0.5697,0.9611650485436893,143.0,7524.0,304.0,108.0
139,TOX21_AR_BLA_Agonist_ratio,Layerd,GBT,0.8053,0.5525,0.5676,0.7725,0.5896,0.5577,0.9872253449156873,140.0,7728.0,100.0,111.0
140,TOX21_AR_BLA_Agonist_ratio,Layerd,RF,0.7982,0.5461,0.5504,0.7679,0.5597,0.5498,0.985947879407256,138.0,7718.0,110.0,113.0
141,TOX21_AR_BLA_Agonist_ratio,Layerd,LR,0.7921,0.4622,0.3452,0.7571,0.2484,0.5697,0.9445579969340828,143.0,7394.0,434.0,108.0
142,TOX21_AR_BLA_Agonist_ratio,Layerd,KNN,0.7511,0.367,0.1727,0.7288,0.0997,0.6451,0.8125958099131323,162.0,6361.0,1467.0,89.0
143,TOX21_AR_BLA_Agonist_ratio,Layerd,NB,0.6003,0.4032,0.0792,0.6013,0.0418,0.7612,0.4413643331630046,191.0,3455.0,4373.0,60.0
144,TOX21_AR_BLA_Agonist_ratio,Pattern,MLP,0.7936,0.503,0.4069,0.7614,0.3232,0.5614,0.9614115257679614,141.0,7574.0,304.0,110.0
145,TOX21_AR_BLA_Agonist_ratio,Pattern,GBT,0.8061,0.5513,0.5338,0.7702,0.5165,0.5574,0.982990606752983,140.0,7744.0,134.0,111.0
146,TOX21_AR_BLA_Agonist_ratio,Pattern,RF,0.8112,0.5472,0.5459,0.7709,0.5452,0.5574,0.9845138359989846,140.0,7756.0,122.0,111.0
147,TOX21_AR_BLA_Agonist_ratio,Pattern,LR,0.7865,0.4655,0.3332,0.7668,0.232,0.5971,0.9365321147499366,150.0,7378.0,500.0,101.0
148,TOX21_AR_BLA_Agonist_ratio,Pattern,KNN,0.764,0.3849,0.1761,0.7384,0.1016,0.6649,0.8118811881188119,167.0,6396.0,1482.0,84.0
149,TOX21_AR_BLA_Agonist_ratio,Pattern,NB,0.5735,0.4125,0.0723,0.5745,0.0379,0.7805,0.3684945417618685,196.0,2903.0,4975.0,55.0
150,TOX21_AR_BLA_Antagonist_ratio,MACCS,MLP,0.7085,0.1886,0.2454,0.65,0.1789,0.3951,0.9049726633689144,159.0,6952.0,730.0,244.0
151,TOX21_AR_BLA_Antagonist_ratio,MACCS,GBT,0.7158,0.1985,0.2756,0.6203,0.2728,0.2807,0.9599062744077064,113.0,7374.0,308.0,290.0
152,TOX21_AR_BLA_Antagonist_ratio,MACCS,RF,0.7558,0.2815,0.3128,0.6306,0.3436,0.2908,0.9703202291070033,117.0,7454.0,228.0,286.0
153,TOX21_AR_BLA_Antagonist_ratio,MACCS,LR,0.7262,0.1465,0.1792,0.6885,0.1029,0.6951,0.6819838583702161,280.0,5239.0,2443.0,123.0
154,TOX21_AR_BLA_Antagonist_ratio,MACCS,KNN,0.6902,0.304,0.1676,0.651,0.098,0.5788,0.7231189794324395,233.0,5555.0,2127.0,170.0
155,TOX21_AR_BLA_Antagonist_ratio,MACCS,NB,0.6214,0.2343,0.0945,0.5013,0.05,0.8789,0.12366571205415257,354.0,950.0,6732.0,49.0
156,TOX21_AR_BLA_Antagonist_ratio,Morgan,MLP,0.6664,0.1906,0.2365,0.6379,0.1753,0.367,0.908890330953926,148.0,7003.0,702.0,255.0
157,TOX21_AR_BLA_Antagonist_ratio,Morgan,GBT,0.6539,0.1909,0.2624,0.6142,0.2582,0.2702,0.9582089552238806,109.0,7383.0,322.0,294.0
158,TOX21_AR_BLA_Antagonist_ratio,Morgan,RF,0.7314,0.2576,0.3093,0.6216,0.3694,0.2677,0.9754704737183647,108.0,7516.0,189.0,295.0
159,TOX21_AR_BLA_Antagonist_ratio,Morgan,LR,0.6836,0.2048,0.221,0.6475,0.1502,0.4215,0.8734587929915639,170.0,6730.0,975.0,233.0
160,TOX21_AR_BLA_Antagonist_ratio,Morgan,KNN,0.6713,0.305,0.1567,0.6472,0.0895,0.6352,0.6591823491239455,256.0,5079.0,2626.0,147.0
