,valid_AUC,valid_AUC_PR,valid_Recall,valid_F1,valid_AUC_tuned,valid_AUC_PR_tuned,valid_Recall_tuned,valid_F1_tuned,test_AUC,test_AUC_PR,test_Recall,test_F1,test_AUC_tuned,test_AUC_PR_tuned,test_Recall_tuned,test_F1_tuned
TOX21_ELG1_LUC_Agonist,0.7281335636091039,0.0902958682077071,0.0709523809523809,0.1119047619047619,0.7281335636091039,0.0902958682077071,0.0709523809523809,0.1119047619047619,0.8569306930693069,0.4664438069788623,0.2,0.3333333333333333,0.8569306930693069,0.4664438069788623,0.2,0.3333333333333333
TOX21_AhR_LUC_Agonist,0.8333044696309224,0.2286867980561751,0.2961347893059219,0.260765957444414,0.8333044696309224,0.2286867980561751,0.2961347893059219,0.260765957444414,0.8063465250965252,0.1913440098764994,0.25,0.2133333333333333,0.8063465250965252,0.1913440098764994,0.25,0.2133333333333333
TOX21_Aromatase_Inhibition,0.7251380427260642,0.1848068786919441,0.1957142122583298,0.2261574431196857,0.7253744450080368,0.1856123951778679,0.2296565199506376,0.2612944726544938,0.7819459859415465,0.3302642341333275,0.3529411764705882,0.4137931034482758,0.7819459859415465,0.3302642341333275,0.3529411764705882,0.4137931034482758
TOX21_AR_BLA_Agonist_ratio,0.8391669619616516,0.546544784618669,0.5350766818758809,0.572566269151635,0.8391669619616516,0.546544784618669,0.5350766818758809,0.572566269151635,0.8610941475826972,0.5760332607728647,0.56,0.6511627906976745,0.8610941475826972,0.5760332607728647,0.56,0.6511627906976745
TOX21_AR_BLA_Antagonist_ratio,0.7335015375517164,0.2150310097729393,0.2588242311720354,0.2727826348457504,0.7335015375517164,0.2150310097729393,0.2588242311720354,0.2727826348457504,0.7408159947984396,0.2756875044155656,0.3,0.3116883116883117,0.7356794538361509,0.2819433012878419,0.35,0.345679012345679
TOX21_AR_LUC_MDAKB2_Agonist,0.799131552193822,0.5232656396368395,0.4913025210084033,0.5445091344711613,0.799131552193822,0.5232656396368395,0.4913025210084033,0.5445091344711613,0.8408808933002481,0.7045700159654158,0.6451612903225806,0.6557377049180327,0.8408808933002481,0.7045700159654158,0.6451612903225806,0.6557377049180327
TOX21_p53_BLA_p1_ratio,0.7787985485669083,0.1565086690465217,0.1840656565656565,0.2120909645909646,0.8161478725880041,0.1820060761833856,0.1897474747474747,0.2145614791125626,0.9100556123028032,0.3330683878033186,0.2727272727272727,0.3999999999999999,0.9100556123028032,0.3330683878033186,0.2727272727272727,0.3999999999999999
TOX21_p53_BLA_p2_ratio,0.6628332276284132,0.1468424732636496,0.1571164025397435,0.182719872477937,0.6628332276284132,0.1468424732636496,0.1571164025397435,0.182719872477937,0.6584602603157019,0.1491717045671566,0.2608695652173913,0.2857142857142857,0.6584602603157019,0.1491717045671566,0.2608695652173913,0.2857142857142857
TOX21_p53_BLA_p3_ratio,0.6750191397560736,0.1163307320838972,0.1350568729516097,0.1672117917596621,0.6872245612468335,0.1252483212608095,0.1367235396182764,0.1630082563240457,0.7256687345740778,0.1352650411638728,0.1578947368421052,0.2307692307692307,0.7256687345740778,0.1352650411638728,0.1578947368421052,0.2307692307692307
TOX21_p53_BLA_p4_ratio,0.6565438608637401,0.1115702026362386,0.1051022588522588,0.1415195817827396,0.6379814823929443,0.1041907437013436,0.150546398046398,0.1524600590660712,0.5939768854645133,0.0424741170895093,0.0,0.0,0.6093124907393688,0.0422015769101559,0.1176470588235294,0.0999999999999999
TOX21_p53_BLA_p5_ratio,0.6173639121783602,0.1032320803741392,0.1086920024420024,0.1111617846990483,0.6173639121783602,0.1032320803741392,0.1086920024420024,0.1111617846990483,0.6615418894830659,0.1465035598032674,0.1176470588235294,0.1739130434782609,0.6615418894830659,0.1465035598032674,0.1176470588235294,0.1739130434782609
TOX21_ERa_BLA_Agonist_ratio,0.7848380090026547,0.3884120425124581,0.3404251418785328,0.3864963961309702,0.7961773004852766,0.3975974284591188,0.3595043385439364,0.427808163929508,0.8257121716611173,0.4095688502496488,0.4117647058823529,0.4374999999999999,0.8165001849796523,0.4503321469306691,0.4705882352941176,0.5714285714285714
TOX21_ERa_BLA_Antagonist_ratio,0.7118264156131231,0.1465509741735342,0.1673820141211445,0.1910726051943079,0.7118264156131231,0.1465509741735342,0.1673820141211445,0.1910726051943079,0.7390319071791153,0.1126609628991402,0.1428571428571428,0.1666666666666666,0.7390319071791153,0.1126609628991402,0.1428571428571428,0.1666666666666666
TOX21_GR_BLA_Agonist_ratio,0.839942096829674,0.5859027480732181,0.5992020479520479,0.6100985707726075,0.839942096829674,0.5859027480732181,0.5992020479520479,0.6100985707726075,0.9771544245228456,0.8135491860603237,0.8461538461538461,0.8461538461538461,0.9771544245228456,0.8135491860603237,0.8461538461538461,0.8461538461538461
TOX21_GR_BLA_Antagonist_ratio,0.8100597839964563,0.4117958130656279,0.375309239779828,0.4305241169145907,0.8301545985577439,0.4083765361258691,0.37664613817555,0.4254453811653406,0.7867451310074262,0.3931505361057439,0.3888888888888889,0.4242424242424242,0.7867451310074262,0.3931505361057439,0.3888888888888889,0.4242424242424242
TOX21_TR_LUC_GH3_Agonist,0.5156735466029094,0.1953598512699851,0.1888095238095238,0.2438095238095238,0.5156735466029094,0.1953598512699851,0.1888095238095238,0.2438095238095238,0.7877106452938758,0.0739565738135532,0.3333333333333333,0.3333333333333333,0.7877106452938758,0.0739565738135532,0.3333333333333333,0.3333333333333333
TOX21_TR_LUC_GH3_Antagonist,0.7312575928669968,0.2036827452330198,0.2286804538563602,0.2500236158124206,0.7312575928669968,0.2036827452330198,0.2286804538563602,0.2500236158124206,0.7694469091984619,0.212741310096798,0.2857142857142857,0.2799999999999999,0.7694469091984619,0.212741310096798,0.2857142857142857,0.2799999999999999
TOX21_PPARg_BLA_Agonist_ratio,0.870908668361451,0.2714592185493302,0.1936917494270435,0.259796614297893,0.870908668361451,0.2714592185493302,0.1936917494270435,0.259796614297893,0.8613097264782659,0.3283493143744949,0.1818181818181818,0.2857142857142857,0.8613097264782659,0.3283493143744949,0.1818181818181818,0.2857142857142857
NVS_ADME_hCYP2B6,0.8618683862433862,0.9038998738805284,0.909047619047619,0.7826497994609449,0.8618683862433862,0.9038998738805284,0.909047619047619,0.7826497994609449,0.7708333333333334,0.8293087121212122,0.625,0.625,0.8125,0.8542343073593073,0.75,0.7999999999999999
NVS_ADME_hCYP1A2,0.6165582334332335,0.714538235792263,0.7609240759240758,0.6854189210529228,0.6165582334332335,0.714538235792263,0.7609240759240758,0.6854189210529228,0.6375,0.7836075689016866,0.5,0.588235294117647,0.6375,0.7836075689016866,0.5,0.588235294117647
NCCT_TPO_AUR_dn,0.8009881774418155,0.7637234324535538,0.6599960179065038,0.6699742267681733,0.8073484059170439,0.770305356134342,0.6641936463650018,0.670031104318627,0.8,0.7255446275589633,0.88,0.7333333333333334,0.8,0.7255446275589633,0.88,0.7333333333333334
