,Inside,AUC_ROC,AUC_PR,F1,B_A,Precision,Recall,Specificity,TP,TN,FP,FN,Outside,AUC_ROC_o,AUC_PR_o,F1_o,B_A_o,Precision_o,Recall_o,Specificity_o,TP_o,TN_o,FP_o,FN_o
TOX21_ELG1_LUC_Agonist,772.0,0.8547588005215124,0.4664819765886854,0.3333333333333333,0.6,1.0,0.2,1.0,1.0,767.0,0.0,4.0,41.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,41.0,0.0,0.0
TOX21_AhR_LUC_Agonist,781.0,0.819488484646195,0.207749526161058,0.2195121951219512,0.613255173564753,0.18,0.28125,0.945260347129506,9.0,708.0,41.0,23.0,28.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,28.0,0.0,0.0
TOX21_Aromatase_Inhibition,763.0,0.773024759501656,0.2852063986866034,0.4285714285714285,0.6731193818009777,0.5454545454545454,0.3529411764705882,0.9932975871313672,6.0,741.0,5.0,11.0,49.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,49.0,0.0,0.0
TOX21_AR_BLA_Agonist_ratio,766.0,0.8719718759987216,0.5225697703427199,0.611111111111111,0.7592201981463726,0.7333333333333333,0.5238095238095238,0.9946308724832216,11.0,741.0,4.0,10.0,45.0,0.826219512195122,0.7808479532163743,0.8571428571428571,0.875,1.0,0.75,1.0,3.0,41.0,0.0,1.0
TOX21_AR_BLA_Antagonist_ratio,757.0,0.7414354732450039,0.3175126781347874,0.3733333333333333,0.6682160895981261,0.3783783783783784,0.3684210526315789,0.9680111265646733,14.0,696.0,23.0,24.0,52.0,0.58,0.0688746438746438,0.0,0.46,0.0,0.0,0.92,0.0,46.0,4.0,2.0
TOX21_AR_LUC_MDAKB2_Agonist,768.0,0.8029490616621985,0.5641389737859375,0.5641025641025642,0.7459785522788204,0.6470588235294118,0.5,0.9919571045576407,11.0,740.0,6.0,11.0,43.0,1.0,1.0,0.9473684210526316,0.9852941176470588,0.9,1.0,0.9705882352941176,9.0,33.0,1.0,0.0
TOX21_p53_BLA_p1_ratio,770.0,0.904407894736842,0.2469872391100615,0.3076923076923076,0.5993421052631579,0.6666666666666666,0.2,0.9986842105263158,2.0,759.0,1.0,8.0,42.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.0,0.0,0.0
TOX21_p53_BLA_p2_ratio,773.0,0.6693579027355623,0.1459664477018339,0.25,0.6097391084093212,0.2631578947368421,0.238095238095238,0.9813829787234044,5.0,738.0,14.0,16.0,35.0,0.9090909090909092,0.5982142857142857,0.6666666666666666,0.75,1.0,0.5,1.0,1.0,33.0,0.0,1.0
TOX21_p53_BLA_p3_ratio,783.0,0.7230986497657756,0.1374015127889012,0.2399999999999999,0.5769840176357123,0.5,0.1578947368421052,0.9960732984293194,3.0,761.0,3.0,16.0,25.0,0.0,0.0,0.0,0.48,0.0,0.0,0.96,0.0,24.0,1.0,0.0
TOX21_p53_BLA_p4_ratio,768.0,0.5892204122340426,0.0392220985421798,0.1025641025641025,0.5485372340425532,0.0869565217391304,0.125,0.9720744680851064,2.0,731.0,21.0,14.0,43.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,42.0,0.0,1.0
TOX21_p53_BLA_p5_ratio,793.0,0.6562902187902188,0.0923944674313322,0.1052631578947368,0.5299629987129988,0.3333333333333333,0.0625,0.9974259974259976,1.0,775.0,2.0,15.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.0,0.0
TOX21_ERa_BLA_Agonist_ratio,768.0,0.8103704864102764,0.450584074232658,0.5714285714285714,0.7332967807629043,0.7272727272727273,0.4705882352941176,0.996005326231691,8.0,748.0,3.0,9.0,44.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,44.0,0.0,0.0
TOX21_ERa_BLA_Antagonist_ratio,788.0,0.6526367187500001,0.0689915696913356,0.1290322580645161,0.544140625,0.1818181818181818,0.1,0.98828125,2.0,759.0,9.0,18.0,21.0,0.95,0.25,0.6666666666666666,0.975,0.5,1.0,0.95,1.0,19.0,1.0,0.0
TOX21_GR_BLA_Agonist_ratio,784.0,0.9769530080814128,0.8139451546578815,0.8461538461538461,0.921779906215704,0.8461538461538461,0.8461538461538461,0.9974059662775616,11.0,769.0,2.0,2.0,27.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,27.0,0.0,0.0
TOX21_GR_BLA_Antagonist_ratio,768.0,0.8293050022133687,0.3800740788816086,0.3846153846153846,0.6626826029216467,0.4545454545454545,0.3333333333333333,0.9920318725099602,5.0,747.0,6.0,10.0,43.0,0.7833333333333333,0.3091168091168091,0.6666666666666666,0.8208333333333333,0.6666666666666666,0.6666666666666666,0.975,2.0,39.0,1.0,1.0
TOX21_TR_LUC_GH3_Agonist,775.0,0.9002590673575129,0.3532193606029731,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,772.0,0.0,2.0,39.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,39.0,0.0,0.0
TOX21_TR_LUC_GH3_Antagonist,807.0,0.7693581390339777,0.2127677919165166,0.2799999999999999,0.6184508104033171,0.2745098039215686,0.2857142857142857,0.9511873350923484,14.0,721.0,37.0,35.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0
TOX21_PPARg_BLA_Agonist_ratio,769.0,0.8272367474214439,0.3205996705559378,0.3448275862068966,0.7186975293835453,0.2777777777777778,0.4545454545454545,0.982849604221636,5.0,745.0,13.0,6.0,43.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,43.0,0.0,0.0
NVS_ADME_hCYP2B6,8.0,0.6875,0.6916666666666667,0.5714285714285715,0.625,0.6666666666666666,0.5,0.75,2.0,3.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0
NVS_ADME_hCYP1A2,16.0,0.65625,0.770648101898102,0.6666666666666666,0.75,1.0,0.5,1.0,4.0,8.0,0.0,4.0,2.0,0.0,1.0,0.6666666666666666,,1.0,0.5,,1.0,0.0,0.0,1.0
NCCT_TPO_AUR_dn,49.0,0.7616666666666667,0.7322699066960071,0.7457627118644068,0.69,0.6470588235294118,0.88,0.5,22.0,12.0,12.0,3.0,7.0,0.0,0.0,0.0,0.4285714285714285,0.0,0.0,0.8571428571428571,0.0,6.0,1.0,0.0
